"lsoa21_code","analysis","official_rank","official_decile","rank_p05","rank_median","rank_p95","rank_p90_interval_width","same_decile_probability","probability_most_deprived_10pct","probability_most_deprived_20pct"
"E01000258","Weights +/-25%",22855,7,22319.95,22869.5,23373.05,1053.10000000001,1,0,0
"E01000259","Weights +/-25%",17181,6,16417.85,17223,17963.15,1545.3,0.743,0,0
"E01000260","Weights +/-25%",12190,4,11460.95,12206,12914.2,1453.25,1,0,0
"E01000261","Weights +/-25%",28126,9,27474.95,28134,28721,1246.05,0.998,0,0
"E01000263","Weights +/-25%",32419,10,32135.95,32416,32668.05,532.099999999999,1,0,0
"E01000264","Weights +/-25%",12189,4,11490.7,12206,12846,1355.3,1,0,0
"E01000265","Weights +/-25%",13950,5,13342.9,13963.5,14609.35,1266.45,0.872,0,0
"E01000266","Weights +/-25%",32599,10,32400.95,32606,32786.05,385.100000000002,1,0,0
"E01000267","Weights +/-25%",23426,7,22834.95,23452.5,24044.05,1209.1,0.693,0,0
"E01000268","Weights +/-25%",10060,3,9471.7,10100.5,10686.55,1214.85,0.523,0,0
"E01000269","Weights +/-25%",22327,7,21648.65,22339.5,23089.05,1440.4,1,0,0
"E01000270","Weights +/-25%",22955,7,22426.95,22966,23567.45,1140.5,0.968,0,0
"E01000271","Weights +/-25%",28338,9,27959.9,28333.5,28696.35,736.450000000001,1,0,0
"E01000272","Weights +/-25%",32104,10,31875.9,32102,32329.05,453.149999999998,1,0,0
"E01000273","Weights +/-25%",15504,5,14893.95,15527.5,16226.45,1332.5,1,0,0
"E01000274","Weights +/-25%",15706,5,15217.95,15715,16249.15,1031.2,1,0,0
"E01000275","Weights +/-25%",27030,9,26379.9,27012.5,27645.2,1265.3,0.505,0,0
"E01000276","Weights +/-25%",33689,10,33680.95,33688,33693,12.0500000000029,1,0,0
"E01000277","Weights +/-25%",16548,5,15890.95,16571,17331.4,1440.45,0.753,0,0
"E01000278","Weights +/-25%",33094,10,32930.95,33090,33201,270.049999999996,1,0,0
"E01000279","Weights +/-25%",31287,10,30878.95,31286,31581.2,702.250000000004,1,0,0
"E01000280","Weights +/-25%",33002,10,32801.95,33002,33158.05,356.100000000006,1,0,0
"E01000281","Weights +/-25%",22630,7,21816.95,22601,23492.05,1675.1,0.981,0,0
"E01000282","Weights +/-25%",26269,8,25631.95,26268.5,26871.2,1239.25,0.977,0,0
"E01000283","Weights +/-25%",33622,10,33600.95,33621,33639,38.0500000000029,1,0,0
"E01000284","Weights +/-25%",16012,5,15497.75,16031.5,16572.2,1074.45,0.997,0,0
"E01000285","Weights +/-25%",19901,6,19095.8,19890.5,20693.1,1597.3,0.785,0,0
"E01000286","Weights +/-25%",12260,4,11790.85,12287.5,12812.1,1021.25,1,0,0
"E01000287","Weights +/-25%",12162,4,11786,12160,12599.25,813.25,1,0,0
"E01000288","Weights +/-25%",21181,7,20641.4,21196.5,21745.1,1103.7,0.998,0,0
